"O.NET.SOC.Code","short_code","Title","Scale.ID","Reading Comprehension","Active Listening","Writing","Speaking","Mathematics","Science","Critical Thinking","Active Learning","Learning Strategies","Monitoring","Social Perceptiveness","Coordination","Persuasion","Negotiation","Instructing","Service Orientation","Complex Problem Solving","Operations Analysis","Technology Design","Equipment Selection","Installation","Programming","Operations Monitoring","Operation and Control","Equipment Maintenance","Troubleshooting","Repairing","Quality Control Analysis","Judgment and Decision Making","Systems Analysis","Systems Evaluation","Time Management","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources"
"47-5011.00","47-5011","Derrick Operators, Oil and Gas","LV",2.88,3,2.62,3,2.5,0.25,3.12,2.62,2.88,3.5,2.75,3.38,2,2.12,2.88,1.88,2.88,0.38,0.12,2.38,0.12,0,3.88,3.62,3.38,3.25,3.62,3.62,2.62,2,2.25,2.75,1.12,1.62,3.38
"47-5012.00","47-5012","Rotary Drill Operators, Oil and Gas","LV",3,2.88,3,2.88,1.88,0.38,3.25,3,3.12,3.25,2.75,3.38,2.88,2.75,3.38,2.25,3.12,1,0.5,2.25,0.38,0,3.5,3.62,3.12,3,3.25,3.25,3,2.12,1.88,3.38,0.38,1.12,3.25
"47-5013.00","47-5013","Service Unit Operators, Oil and Gas","LV",3,3,3,3,2.38,0.38,3.25,3,2.38,3.38,2.75,3,2.62,2.38,2.5,2.5,3,0.88,0.5,2.5,2.12,0.88,3.62,3.5,3.25,3.12,3.12,3.12,2.62,2.38,2.5,2.88,1.12,1.75,2.5
"47-5022.00","47-5022","Excavating and Loading Machine and Dragline Operators, Surface Mining","LV",3,3,2.38,2.75,2.25,0,3,2.88,2.25,3,2.62,3.12,2.75,2.25,2.25,2.25,2.88,1.62,1.12,2.88,0.62,0,3.25,3.62,3.12,3,3.12,2.75,2.75,2.12,2.12,2.88,0.75,0.88,2.88
"47-5041.00","47-5041","Continuous Mining Machine Operators","LV",2.25,2.88,2,2.25,1.38,0.62,3.12,2.5,2.5,3,2.25,3,2.25,2.12,2.38,2.12,3,1.25,0.75,2.25,1.12,0,3.88,3.62,3.38,3,3,2.5,3,2.25,2.12,2.75,0.38,0.38,2.75
"47-5043.00","47-5043","Roof Bolters, Mining","LV",2.25,2.88,2.25,2.25,1.75,0.75,3,2.88,2.5,3.12,2.25,3.5,2.12,2.12,2.62,2.12,2.38,0.25,0.12,2.25,1.5,0,3.25,3.12,3,3,2.88,3,2.38,2,2.12,3,1.12,1.12,2.25
"47-5044.00","47-5044","Loading and Moving Machine Operators, Underground Mining","LV",2.62,2.88,2,2.88,1.25,0,2.75,2,1.5,2.62,2.38,3,2.12,2.12,2.25,2.25,2.5,1,0,2.38,0.38,0,3.25,3.25,3.12,3.12,3,2.62,2.25,0.75,0.62,2.12,0.62,0.88,2
"47-5071.00","47-5071","Roustabouts, Oil and Gas","LV",2.12,2.5,1.88,2,1.5,0,2.25,2.12,2,2.5,2.25,3,1.5,1.75,2,1.88,2.12,0.25,0.5,2.12,0.12,0,2.88,2.75,2.75,2.62,2.75,2.75,2.12,2,2,2.25,0.75,1,1.88
"47-5081.00","47-5081","Helpers--Extraction Workers","LV",2.5,2.62,2.25,2.38,2.25,0.5,2.88,2.62,2.25,3.12,2.38,3.25,2,1.88,2.25,2,2.62,0,1,2.75,0.38,0,3.38,3,3.12,3,3.12,2.62,2.62,1.88,1.62,2.25,0.88,1.5,2
